Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items,,,
11751205,OTPVHUHB,OTP XX-XXIII. ker. Önkorm. Devizái,"1204 Budapest, Kossuth Lajos utca 44-46.",S,R,,,
11751212,OTPVHUHB,OTP XXI. ker. Önkorm. Devizái,"1211 Budapest, Kossuth Lajos utca 99.",S,R,,,
11751229,OTPVHUHB,OTP XXII. ker. Önkorm. Devizái,"1221 Budapest, Kossuth Lajos utca 31.",S,R,,,
11751315,OTPVHUHB,OTP Baranya m. Önkorm. Devizái,"7621 Pécs, Király utca 11.",S,R,,,
11751322,OTPVHUHB,OTP Bács-Kiskun m. Önkorm. Devizái,"6000 Kecskemét, Szabadság tér 1.",S,R,,,
11751339,OTPVHUHB,OTP Békés m. Önkorm. Devizái,"5600 Békéscsaba, Andrássy út 29-33.",S,R,,,
11751346,OTPVHUHB,OTP BAZ m. Önkorm. Devizái,"3525 Miskolc, Szemere utca 5.",S,R,,,
11751353,OTPVHUHB,OTP Csongrád m. Önkorm. Devizái,"6720 Szeged, Klauzál tér 5.",S,R,,,
11751360,OTPVHUHB,OTP Fejér m. Önkorm. Devizái,"8000 Székesfehérvár, Várkapu utca 1.",S,R,,,
11751377,OTPVHUHB,OTP Győr-M-S m. Önkorm. Devizái,"9022 Győr, Teleki László utca 51.",S,R,,,
11751384,OTPVHUHB,OTP Hajdú-Bihar m. Önkorm. Devizái,"4025 Debrecen, Hatvan utca 2-4.",S,R,,,
11751391,OTPVHUHB,OTP Heves m. Önkorm. Devizái,"3300 Eger, Széchenyi István utca 2.",S,R,,,
11751401,OTPVHUHB,OTP Komárom-E m. Önkorm. Devizái,"2800 Tatabánya, Fő tér 32.",S,R,,,
11751418,OTPVHUHB,OTP Nógrád m. Önkorm. Devizái,"3100 Salgótarján, Rákóczi út 22.",S,R,,,
11751425,OTPVHUHB,OTP Pest m. Önkorm. Devizái,"1052 Budapest, Semmelweis utca 11.",S,R,,,
11751432,OTPVHUHB,OTP Somogy m. Önkorm. Devizái,"7400 Kaposvár, Széchenyi tér 2.",S,R,,,
11751449,OTPVHUHB,OTP Szabolcs-Sz-B m. Önkorm. Devizái,"4400 Nyíregyháza, Rákóczi utca 1.",S,R,,,
11751456,OTPVHUHB,OTP J-N-Szolnok m. Önkorm. Devizái,"5000 Szolnok, Szapáry utca 31.",S,R,,,
11751463,OTPVHUHB,OTP Tolna m. Önkorm. Devizái,"7100 Szekszárd, Szent István tér 5-7.",S,R,,,
11751470,OTPVHUHB,OTP Vas m. Önkorm. Devizái,"9700 Szombathely, Fő tér 3-5.",S,R,,,
11751487,OTPVHUHB,OTP Veszprém m. Önkorm. Devizái,"8200 Veszprém, Óváros tér 24.",S,R,,,
11751494,OTPVHUHB,OTP Zala m. Önkorm. Devizái,"8900 Zalaegerszeg, Kisfaludy Sándor utca 15-17.",S,R,,,
11751841,OTPVHUHB,OTP Ker.Banki Centrum Önkorm. Devizái,"1051 Budapest, Nádor utca 6.",S,R,,,
11751865,OTPVHUHB,OTP Pest-Buda fiók Önkorm. Devizái,"1051 Budapest, Bajcsy-Zsilinszky út 24.",S,R,,,
11751937,OTPVHUHB,OTP Kelet-Pesti fiók Önkorm. Devizái,"1093 Budapest, Csarnok tér 3-4.",S,R,,,
11751944,OTPVHUHB,OTP Központi fiók Önkorm. Devizái,"1052 Budapest, Deák Ferenc utca 7-9.",S,R,,,
11751951,OTPVHUHB,OTP Budai fiók Önkorm. Devizái,"1124 Budapest, Apor Vilmos tér 11-12.",S,R,,,
11751968,OTPVHUHB,OTP Észak-Pesti fiók Önkorm. Devizái,"1041 Budapest, Erzsébet utca 50.",S,R,,,
11759007,OTPVHUHB,OTP Központi Számlavezetés,"1051 Budapest, Nádor utca 16.",,,,,
11763017,OTPVHUHB,OTP I.ker. Belföldiek Devizái,"1013 Budapest, Alagút utca 3.",S,R,,,
11763024,OTPVHUHB,OTP II.ker. Belföldiek Devizái,"1027 Budapest, Margit körút 8-10.",S,R,,,
11763031,OTPVHUHB,OTP III.ker. Belföldiek Devizái,"1033 Budapest, Flórián tér 15.",S,R,,,
11763048,OTPVHUHB,OTP IV.ker. Belföldiek Devizái,"1041 Budapest, Erzsébet utca 50.",S,R,,,
11763055,OTPVHUHB,OTP V.ker. Belföldiek Devizái,"1051 Budapest, Nádor utca 6.",S,R,,,
11763062,OTPVHUHB,OTP VI.ker. Belföldiek Devizái,"1061 Budapest, Andrássy út 23.",S,R,,,
11763079,OTPVHUHB,OTP VII.ker. Belföldiek Devizái,"1067 Budapest, Oktogon 3.",S,R,,,
11763086,OTPVHUHB,OTP VIII.ker. Belföldiek Devizái,"1085 Budapest, József körút 33.",S,R,,,
11763093,OTPVHUHB,OTP IX.ker. Belföldiek Devizái,"1095 Budapest, Tinódi utca 9-11.",S,R,,,
11763103,OTPVHUHB,OTP X.ker. Belföldiek Devizái,"1102 Budapest, Kőrösi Csoma Sándor út 6.",S,R,,,
11763110,OTPVHUHB,OTP XI.ker. Belföldiek Devizái,"1115 Budapest, Bartók Béla út 92-94.",S,R,,,
11763127,OTPVHUHB,OTP XII.ker. Belföldiek Devizái,"1124 Budapest, Apor Vilmos tér 11-12.",S,R,,,
11763134,OTPVHUHB,OTP XIII.ker. Belföldiek Devizái,"1055 Budapest, Nyugati tér 9.",S,R,,,
11763141,OTPVHUHB,OTP XIV.ker. Belföldiek Devizái,"1146 Budapest, Thököly út 102/B",S,R,,,
11763158,OTPVHUHB,OTP XV.ker. Belföldiek Devizái,"1152 Budapest, Szentmihályi út 131.",S,R,,,
11763165,OTPVHUHB,OTP XVI.ker. Belföldiek Devizái,"1163 Budapest, Jókai Mór utca 1/B",S,R,,,
11763172,OTPVHUHB,OTP XVII.ker. Belföldiek Devizái,"1173 Budapest, Ferihegyi út 93.",S,R,,,
11763189,OTPVHUHB,OTP XVIII.ker. Belföldiek Devizái,"1181 Budapest, Üllői út 377.",S,R,,,
11763196,OTPVHUHB,OTP XIX.ker. Belföldiek Devizái,"1195 Budapest, Üllői út 285.",S,R,,,
11763206,OTPVHUHB,OTP XX-XXIII.ker. Belföldiek Devizái,"1204 Budapest, Kossuth Lajos utca 44-46.",S,R,,,
11763213,OTPVHUHB,OTP XXI.ker. Belföldiek Devizái,"1211 Budapest, Kossuth Lajos utca 99.",S,R,,,
11763220,OTPVHUHB,OTP XXII.ker. Belföldiek Devizái,"1221 Budapest, Kossuth Lajos utca 31.",S,R,,,
11763316,OTPVHUHB,OTP Baranya m. Belföldiek Devizái,"7621 Pécs, Király utca 11.",S,R,,,
11763323,OTPVHUHB,OTP Bács-Kiskun m. Belföldiek Devizái,"6000 Kecskemét, Szabadság tér 1.",S,R,,,
11763330,OTPVHUHB,OTP Békés m. Belföldiek Devizái,"5600 Békéscsaba, Andrássy út 29-33.",S,R,,,
11763347,OTPVHUHB,OTP Borsod-Abaúj-Z.m. Belföldiek Devizái,"3525 Miskolc, Szemere utca 5.",S,R,,,
11763354,OTPVHUHB,OTP Csongrád m. Belföldiek Devizái,"6720 Szeged, Klauzál tér 5.",S,R,,,
11763361,OTPVHUHB,OTP Fejér m. Belföldiek Devizái,"8000 Székesfehérvár, Várkapu utca 1.",S,R,,,
11763378,OTPVHUHB,OTP Győr-Moson-S. m. Belföldiek Devizái,"9022 Győr, Teleki László utca 51.",S,R,,,
11763385,OTPVHUHB,OTP Hajdú-Bihar m. Belföldiek Devizái,"4025 Debrecen, Hatvan utca 2-4.",S,R,,,
11763392,OTPVHUHB,OTP Heves m. Belföldiek Devizái,"3300 Eger, Széchenyi István utca 2.",S,R,,,
11763402,OTPVHUHB,OTP Komárom-E. megyei Belföldiek Devizái,"2800 Tatabánya, Fő tér 32.",S,R,,,
11763419,OTPVHUHB,OTP Nógrád megyei Belföldiek Devizái,"3100 Salgótarján, Rákóczi út 22.",S,R,,,
11763426,OTPVHUHB,OTP Pest megyei Belföldiek Devizái,"1052 Budapest, Semmelweis utca 11.",S,R,,,
11763433,OTPVHUHB,OTP Somogy megyei Belföldiek Devizái,"7400 Kaposvár, Széchenyi tér 2.",S,R,,,
11763440,OTPVHUHB,OTP Szabolcs-Sz.-B.m. Belföldiek Devizái,"4400 Nyíregyháza, Rákóczi utca 1.",S,R,,,
11763457,OTPVHUHB,OTP Jász-N-Sz.megyei Belföldiek Devizái,"5000 Szolnok, Szapáry utca 31.",S,R,,,
11763464,OTPVHUHB,OTP Tolna m. Belföldiek Devizái,"7100 Szekszárd, Szent István tér 5-7.",S,R,,,
11763471,OTPVHUHB,OTP Vas m. Belföldiek Devizái,"9700 Szombathely, Fő tér 3-5.",S,R,,,
11763488,OTPVHUHB,OTP Veszprém m. Belföldiek Devizái,"8200 Veszprém, Óváros tér 24.",S,R,,,
11763495,OTPVHUHB,OTP Zala m. Belföldiek Devizái,"8900 Zalaegerszeg, Kisfaludy Sándor utca 15-17.",S,R,,,
11763804,OTPVHUHB,OTP Ker. Faktoring Belföldiek Devizái,"1131 Budapest, Babér utca 7.",S,R,,,
11763811,OTPVHUHB,"OTP Központi r., HTC INST Központi elsz.","1131 Budapest, Babér utca 9.",S,R,,,
11763842,OTPVHUHB,OTP Ker.Banki Centrum Belföldiek Devizái,"1051 Budapest, Nádor utca 6.",S,R,,,
11763866,OTPVHUHB,OTP Pest-Buda Fiók Belföldiek Devizái,"1051 Budapest, Bajcsy-Zsilinszky út 24.",S,R,,,
11763938,OTPVHUHB,OTP Kelet-Pesti Fiók Belföldiek Devizái,"1093 Budapest, Csarnok tér 3-4.",S,R,,,
11763945,OTPVHUHB,OTP Központi Fiók Belföldiek Devizái,"1051 Budapest, Bajcsy-Zsilinszky út 24.",S,R,,,
11763952,OTPVHUHB,OTP Budai Fiók Belföldiek Devizái,"1124 Budapest, Apor Vilmos tér 11-12.",S,R,,,
11763969,OTPVHUHB,OTP Észak-Pesti Fiók Belföldiek Devizái,"1041 Budapest, Erzsébet utca 50.",S,R,,,
11764018,OTPVHUHB,OTP I.ker. Külföldiek Devizái,"1013 Budapest, Alagút utca 3.",S,R,,,
11764025,OTPVHUHB,OTP II.ker. Külföldiek Devizái,"1027 Budapest, Margit körút 8-10.",S,R,,,
11764032,OTPVHUHB,OTP III.ker. Külföldiek Devizái,"1033 Budapest, Flórián tér 15.",S,R,,,
11764049,OTPVHUHB,OTP IV.ker. Külföldiek Devizái,"1041 Budapest, Erzsébet utca 50.",S,R,,,
11764056,OTPVHUHB,OTP V.ker. Külföldiek Devizái,"1051 Budapest, Nádor utca 6.",S,R,,,
11764063,OTPVHUHB,OTP VI.ker. Külföldiek Devizái,"1061 Budapest, Andrássy út 23.",S,R,,,
11764070,OTPVHUHB,OTP VII.ker. Külföldiek Devizái,"1067 Budapest, Oktogon 3.",S,R,,,
11764087,OTPVHUHB,OTP VIII.ker. Külföldiek Devizái,"1085 Budapest, József körút 33.",S,R,,,
11764094,OTPVHUHB,OTP IX.ker. Külföldiek Devizái,"1095 Budapest, Tinódi utca 9-11.",S,R,,,
11764104,OTPVHUHB,OTP X.ker. Külföldiek Devizái,"1102 Budapest, Kőrösi Csoma Sándor út 6.",S,R,,,
11764111,OTPVHUHB,OTP XI.ker. Külföldiek Devizái,"1115 Budapest, Bartók Béla út 92-94.",S,R,,,
11764128,OTPVHUHB,OTP XII.ker. Külföldiek Devizái,"1124 Budapest, Apor Vilmos tér 11-12.",S,R,,,
11764135,OTPVHUHB,OTP XIII.ker. Külföldiek Devizái,"1055 Budapest, Nyugati tér 9.",S,R,,,
11764142,OTPVHUHB,OTP XIV.ker. Külföldiek Devizái,"1146 Budapest, Thököly út 102/B",S,R,,,
11764159,OTPVHUHB,OTP XV.ker. Külföldiek Devizái,"1152 Budapest, Szentmihályi út 131.",S,R,,,
11764166,OTPVHUHB,OTP XVI.ker. Külföldiek Devizái,"1163 Budapest, Jókai Mór utca 1/B",S,R,,,
11764173,OTPVHUHB,OTP XVII.ker. Külföldiek Devizái,"1173 Budapest, Ferihegyi út 93.",S,R,,,
11764180,OTPVHUHB,OTP XVIII.ker. Külföldiek Devizái,"1181 Budapest, Üllői út 377.",S,R,,,
11764197,OTPVHUHB,OTP XIX.ker. Külföldiek Devizái,"1195 Budapest, Üllői út 285.",S,R,,,
11764207,OTPVHUHB,OTP XX-XXIII.ker. Külföldiek Devizái,"1204 Budapest, Kossuth Lajos utca 44-46.",S,R,,,
11764214,OTPVHUHB,OTP XXI.ker. Külföldiek Devizái,"1211 Budapest, Kossuth Lajos utca 99.",S,R,,,
11764221,OTPVHUHB,OTP XXII.ker. Külföldiek Devizái,"1221 Budapest, Kossuth Lajos utca 31.",S,R,,,
11764317,OTPVHUHB,OTP Baranya m. Külföldiek Devizái,"7621 Pécs, Király utca 11.",S,R,,,
11764324,OTPVHUHB,OTP Bács-Kiskun m. Külföldiek Devizái,"6000 Kecskemét, Szabadság tér 1.",S,R,,,
11764331,OTPVHUHB,OTP Békés m. Külföldiek Devizái,"5600 Békéscsaba, Andrássy út 29-33.",S,R,,,
11764348,OTPVHUHB,OTP Borsod-Abaúj-Z.m. Külföldiek Devizái,"3525 Miskolc, Szemere utca 5.",S,R,,,
11764355,OTPVHUHB,OTP Csongrád m. Külföldiek Devizái,"6720 Szeged, Klauzál tér 5.",S,R,,,
11764362,OTPVHUHB,OTP Fejér m. Külföldiek Devizái,"8000 Székesfehérvár, Várkapu utca 1.",S,R,,,
11764379,OTPVHUHB,OTP Győr-Moson-S. m. Külföldiek Devizái,"9022 Győr, Teleki László utca 51.",S,R,,,
11764386,OTPVHUHB,OTP Hajdú-Bihar m. Külföldiek Devizái,"4025 Debrecen, Hatvan utca 2-4.",S,R,,,
11764393,OTPVHUHB,OTP Heves m. Külföldiek Devizái,"3300 Eger, Széchenyi István utca 2.",S,R,,,
11764403,OTPVHUHB,OTP Komárom-E. megyei Külföldiek Devizái,"2800 Tatabánya, Fő tér 32.",S,R,,,
11764410,OTPVHUHB,OTP Nógrád megyei Külföldiek Devizái,"3100 Salgótarján, Rákóczi út 22.",S,R,,,
11764427,OTPVHUHB,OTP Pest megyei Külföldiek Devizái,"1052 Budapest, Semmelweis utca 11.",S,R,,,
11764434,OTPVHUHB,OTP Somogy megyei Külföldiek Devizái,"7400 Kaposvár, Széchenyi tér 2.",S,R,,,
11764441,OTPVHUHB,OTP Szabolcs-Sz.-B.m. Külföldiek Devizái,"4400 Nyíregyháza, Rákóczi utca 1.",S,R,,,
11764458,OTPVHUHB,OTP Jász-N-Sz. megyei Külföldiek Devizái,"5000 Szolnok, Szapáry utca 31.",S,R,,,
11764465,OTPVHUHB,OTP Tolna m. Külföldiek Devizái,"7100 Szekszárd, Szent István tér 5-7.",S,R,,,
11764472,OTPVHUHB,OTP Vas m. Külföldiek Devizái,"9700 Szombathely, Fő tér 3-5.",S,R,,,
11764489,OTPVHUHB,OTP Veszprém m. Külföldiek Devizái,"8200 Veszprém, Óváros tér 24.",S,R,,,
11764496,OTPVHUHB,OTP Zala m. Külföldiek Devizái,"8900 Zalaegerszeg, Kisfaludy Sándor utca 15-17.",S,R,,,
11764843,OTPVHUHB,OTP Ker.Banki Centrum Külföldiek Devizái,"1051 Budapest, Nádor utca 6.",S,R,,,
11764867,OTPVHUHB,OTP Pest-Buda Fiók Külföldiek Devizái,"1051 Budapest, Bajcsy-Zsilinszky út 24.",S,R,,,
11764939,OTPVHUHB,OTP Kelet-Pesti Fiók Külföldiek Devizái,"1093 Budapest, Csarnok tér 3-4.",S,R,,,
11764946,OTPVHUHB,OTP Központi Fiók Külföldiek Devizái,"1052 Budapest, Deák Ferenc utca 7-9.",S,R,,,
11764953,OTPVHUHB,OTP Budai Fiók Külföldiek Devizái,"1124 Budapest, Apor Vilmos tér 11-12.",S,R,,,
11764960,OTPVHUHB,OTP Észak-Pesti Fiók Külföldiek Devizái,"1041 Budapest, Erzsébet utca 50.",S,R,,,
11766003,OTPVHUHB,OTP Országos Betétbiztosítási alap,"1051 Budapest, Nádor utca 16.",,,,,
11769006,OTPVHUHB,OTP Központi Számlavezetés,"1051 Budapest, Nádor utca 16.",S,R,,,
11773009,OTPVHUHB,OTP Központi Számlavezetés,"1051 Budapest, Nádor utca 16.",S,R,,,
11773016,OTPVHUHB,OTP I.kerületi LAFO fiók,"1011 Budapest, Iskola utca 38-42.",S,R,,,
11773023,OTPVHUHB,OTP II.kerületi LAFO fiók,"1015 Budapest, Széna tér 7.",S,R,,,
11773030,OTPVHUHB,OTP III.kerületi LAFO fiók,"1033 Budapest, Flórián tér 15.",S,R,,,
11773047,OTPVHUHB,OTP IV.kerületi LAFO fiók,"1042 Budapest, Árpád út 63-65.",S,R,,,
11773054,OTPVHUHB,OTP V.kerületi LAFO fiók,"1051 Budapest, Nádor utca 6.",S,R,,,
11773061,OTPVHUHB,OTP VI.kerületi LAFO fiók,"1061 Budapest, Andrássy út 6.",S,R,,,
11773078,OTPVHUHB,OTP VII.kerületi LAFO fiók,"1061 Budapest, Andrássy út 6.",S,R,,,
11773085,OTPVHUHB,OTP VIII.kerületi LAFO fiók,"1085 Budapest, József körút 36.",S,R,,,
11773092,OTPVHUHB,OTP IX.kerületi LAFO fiók,"1094 Budapest, Ferenc körút 13.",S,R,,,
11773102,OTPVHUHB,OTP X.kerületi LAFO fiók,"1105 Budapest, Román utca 2.",S,R,,,
11773119,OTPVHUHB,OTP XI.kerületi LAFO fiók,"1115 Budapest, Bartók Béla út 92-94.",S,R,,,
11773126,OTPVHUHB,OTP XII.kerületi LAFO fiók,"1115 Budapest, Bartók Béla út 92-94.",S,R,,,
11773133,OTPVHUHB,OTP XIII.kerületi LAFO fiók,"1055 Budapest, Nyugati tér 9.",S,R,,,
11773140,OTPVHUHB,OTP XIV.kerületi LAFO fiók,"1149 Budapest, Fogarasi út 15/B",S,R,,,
11773157,OTPVHUHB,OTP XV.kerületi LAFO fiók,"1152 Budapest, Szentmihályi út 131.",S,R,,,
11773164,OTPVHUHB,OTP XVI.kerületi LAFO fiók,"1163 Budapest, Jókai Mór utca 1/B",S,R,,,
11773171,OTPVHUHB,OTP XVII.kerületi LAFO fiók,"1173 Budapest, Ferihegyi út 93.",S,R,,,
11773188,OTPVHUHB,OTP XVIII.kerületi LAFO fiók,"1181 Budapest, Üllői út 377.",S,R,,,
11773195,OTPVHUHB,OTP XIX.kerületi LAFO fiók,"1195 Budapest, Üllői út 285.",S,R,,,
11773205,OTPVHUHB,OTP XX.kerületi LAFO fiók,"1204 Budapest, Kossuth Lajos utca 44-46.",S,R,,,
11773212,OTPVHUHB,OTP XXI.kerületi LAFO fiók,"1211 Budapest, Kossuth Lajos utca 86.",S,R,,,
11773229,OTPVHUHB,OTP XXII.kerületi LAFO fiók,"1221 Budapest, Kossuth Lajos utca 31.",S,R,,,
11773298,OTPVHUHB,OTP Direkt Call Center,"1051 Budapest, Nádor utca 16.",S,R,,,
11773315,OTPVHUHB,OTP Baranya megyei LAFO fiók,"7623 Pécs, Rákóczi út 44.",S,R,,,
11773322,OTPVHUHB,OTP Bács-Kiskun megyei LAFO fiók,"6000 Kecskemét, Szabadság tér 5.",S,R,,,
11773339,OTPVHUHB,OTP Békés megyei LAFO fiók,"5600 Békéscsaba, Szent István tér 3.",S,R,,,
11773346,OTPVHUHB,OTP Borsod-Abaúj-Zemplén megyei LAFO f.,"3534 Miskolc, Árpád út 2.",S,R,,,
11773353,OTPVHUHB,OTP Csongrád megyei LAFO fiók,"6720 Szeged, Takaréktár utca 7.",S,R,,,
11773360,OTPVHUHB,OTP Fejér megyei LAFO fiók,"8000 Székesfehérvár, Ősz utca 13.",S,R,,,
11773377,OTPVHUHB,OTP Győr-Moson-Sopron megyei LAFO fiók,"9022 Győr, Teleki László utca 51.",S,R,,,
11773384,OTPVHUHB,OTP Hajdú-Bihar megyei LAFO fiók,"4025 Debrecen, Piac utca 45-47.",S,R,,,
11773391,OTPVHUHB,OTP Heves megyei LAFO fiók,"3300 Eger, Széchenyi István utca 2.",S,R,,,
11773401,OTPVHUHB,OTP Komárom-Esztergom megyei LAFO fiók,"2800 Tatabánya, Fő tér 32.",S,R,,,
11773418,OTPVHUHB,OTP Nógrád megyei LAFO fiók,"3100 Salgótarján, Rákóczi út 12.",S,R,,,
11773425,OTPVHUHB,OTP Pest megyei LAFO fiók,"1075 Budapest, Károly körút 25.",S,R,,,
11773432,OTPVHUHB,OTP Somogy megyei LAFO fiók,"7400 Kaposvár, Széchenyi tér 2.",S,R,,,
11773449,OTPVHUHB,OTP Szabolcs-Szatmár-Bereg megyei LAFO f,"4400 Nyíregyháza, Rákóczi utca 1.",S,R,,,
11773456,OTPVHUHB,OTP Jász-Nagykun-Szolnok megyei LAFO f.,"5000 Szolnok, Nagy Imre körút 2/A",S,R,,,
11773463,OTPVHUHB,OTP Tolna megyei LAFO fiók,"7100 Szekszárd, Szent István tér 5-7.",S,R,,,
11773470,OTPVHUHB,OTP Vas megyei LAFO fiók,"9700 Szombathely, Király utca 10.",S,R,,,
11773487,OTPVHUHB,OTP Veszprém megyei LAFO fiók,"8200 Veszprém, Óváros tér 24.",S,R,,,
11773494,OTPVHUHB,OTP Zala megyei LAFO fiók,"8900 Zalaegerszeg, Kisfaludy Sándor utca 15-17.",S,R,,,
11773535,OTPVHUHB,OTP Fejér megyei LAFO fiók,"8000 Székesfehérvár, Ősz utca 13.",S,R,,,
11773683,OTPVHUHB,OTP Pest megyei LAFO fiók,"1052 Budapest, Semmelweis utca 11.",S,R,,,
11773834,OTPVHUHB,OTP Budapesti r. Postabetét Elsz. fiók,"1089 Budapest, Kálvária tér 18.",S,R,,,
11773944,OTPVHUHB,OTP Központi fiók - LÉNY szla. vezetés,"1051 Budapest, Nádor utca 21.",S,R,,,
11773951,OTPVHUHB,OTP Budai fiók - LÉNY szla. vezetés,"1124 Budapest, Jagelló út 20/A",S,R,,,
11773968,OTPVHUHB,OTP Pénzforgalmi Főosztály - BABOO,"1097 Budapest, Könyves Kálmán körút 5.",S,R,,,
11773999,OTPVHUHB,OTP Budapesti Önkormányzati fiók LTP f.,"1054 Budapest, Báthory utca 9.",S,R,,,
11774000,OTPVHUHB,OTP C-hitel üzletági kód,"1051 Budapest, Nádor utca 16.",,R,,,
11774017,OTPVHUHB,OTP I.ker. B-hitel üzletági kód,"1011 Budapest, Iskola utca 38-42.",,R,,,
11774024,OTPVHUHB,OTP II.ker. B-hitel üzletági kód,"1015 Budapest, Széna tér 7.",,R,,,
11774031,OTPVHUHB,OTP III.ker. B-hitel üzletági kód,"1033 Budapest, Flórián tér 15.",,R,,,
11774048,OTPVHUHB,OTP IV.ker. B-hitel üzletági kód,"1042 Budapest, Árpád út 63-65.",,R,,,
11774055,OTPVHUHB,OTP V.ker. B-hitel üzletági kód,"1051 Budapest, Nádor utca 6.",,R,,,
11774062,OTPVHUHB,OTP VI.ker. B-hitel üzletági kód,"1061 Budapest, Andrássy út 6.",,R,,,
11774079,OTPVHUHB,OTP VII.ker. B-hitel üzletági kód,"1061 Budapest, Andrássy út 6.",,R,,,
11774086,OTPVHUHB,OTP VIII.ker. B-hitel üzletági kód,"1085 Budapest, József körút 36.",,R,,,
11774093,OTPVHUHB,OTP IX.ker. B-hitel üzletági kód,"1094 Budapest, Ferenc körút 13.",,R,,,
11774103,OTPVHUHB,OTP X.ker. B-hitel üzletági kód,"1105 Budapest, Román utca 2.",,R,,,
11774110,OTPVHUHB,OTP XI.ker. B-hitel üzletági kód,"1115 Budapest, Bartók Béla út 92-94.",,R,,,
11774127,OTPVHUHB,OTP XII.ker. B-hitel üzletági kód,"1115 Budapest, Bartók Béla út 92-94.",,R,,,
11774134,OTPVHUHB,OTP XIII.ker. B-hitel üzletági kód,"1055 Budapest, Nyugati tér 9.",,R,,,
11774141,OTPVHUHB,OTP XIV.ker. B-hitel üzletági kód,"1149 Budapest, Fogarasi út 15/B",,R,,,
11774158,OTPVHUHB,OTP XV.ker. B-hitel üzletági kód,"1152 Budapest, Szentmihályi út 131.",,R,,,
11774165,OTPVHUHB,OTP XVI.ker. B-hitel üzletági kód,"1163 Budapest, Jókai Mór utca 1/B",,R,,,
11774172,OTPVHUHB,OTP XVII.ker. B-hitel üzletági kód,"1173 Budapest, Ferihegyi út 93.",,R,,,
11774189,OTPVHUHB,OTP XVIII.ker. B-hitel üzletági kód,"1181 Budapest, Üllői út 377.",,R,,,
11774196,OTPVHUHB,OTP XIX.ker. B-hitel üzletági kód,"1195 Budapest, Üllői út 285.",,R,,,
11774206,OTPVHUHB,OTP XX.ker. B-hitel üzletági kód,"1204 Budapest, Kossuth Lajos utca 44-46.",,R,,,
11774213,OTPVHUHB,OTP XXI.ker. B-hitel üzletági kód,"1211 Budapest, Kossuth Lajos utca 86.",,R,,,
11774220,OTPVHUHB,OTP XXII.ker. B-hitel üzletági kód,"1221 Budapest, Kossuth Lajos utca 31.",,R,,,
11774299,OTPVHUHB,OTP Központi számlavezetés (Call Center),"1064 Budapest, Podmaniczky utca 65.",S,R,,,
11774316,OTPVHUHB,OTP Baranya m. B-hitel üzletági kód,"7623 Pécs, Rákóczi út 44.",,R,,,
11774323,OTPVHUHB,OTP Bács-Kiskun m. B-hitel üzletági kód,"6000 Kecskemét, Szabadság tér 5.",,R,,,
11774330,OTPVHUHB,OTP Békés m. B-hitel üzletági kód,"5600 Békéscsaba, Szent István tér 3.",,R,,,
11774347,OTPVHUHB,OTP BAZ m. B-hitel üzletági kód,"3534 Miskolc, Árpád út 2.",,R,,,
11774354,OTPVHUHB,OTP Csongrád m. B-hitel üzletági kód,"6720 Szeged, Takaréktár utca 7.",,R,,,
11774361,OTPVHUHB,OTP Fejér m. B-hitel üzletági kód,"8000 Székesfehérvár, Ősz utca 13.",,R,,,
11774378,OTPVHUHB,OTP Győr-Moson-Sopron B-hitel ü.ági kód,"9023 Győr, Bartók Béla út 53/B",,R,,,
11774385,OTPVHUHB,OTP Hajdú-Bihar m. B-hitel üzletági kód,"4025 Debrecen, Piac utca 45-47.",,R,,,
11774392,OTPVHUHB,OTP Heves m. B-hitel üzletági kód,"3300 Eger, Széchenyi István utca 2.",,R,,,
11774402,OTPVHUHB,OTP Komárom-Esztergom m.B-hit. ü.ági kód,"2800 Tatabánya, Fő tér 32.",,R,,,
11774419,OTPVHUHB,OTP Nógrád m. B-hitel üzletági kód,"3100 Salgótarján, Rákóczi út 12.",,R,,,
11774426,OTPVHUHB,OTP Pest m. B-hitel üzletági kód,"1052 Budapest, Semmelweis utca 11.",,R,,,
11774433,OTPVHUHB,OTP Somogy m. B-hitel üzletági kód,"7400 Kaposvár, Széchenyi tér 2.",,R,,,
11774440,OTPVHUHB,OTP Szabolcs-Szatmár-B.m. B-hit. ü.ági k,"4400 Nyíregyháza, Rákóczi utca 1.",,R,,,
11774457,OTPVHUHB,OTP Jász-Nagykun-Sz. m. B-hitel ü.ági k.,"5000 Szolnok, Nagy Imre körút 2/A",,R,,,
11774464,OTPVHUHB,OTP Tolna m. B-hitel üzletági kód,"7100 Szekszárd, Szent István tér 5-7.",,R,,,
11774471,OTPVHUHB,OTP Vas m. B-hitel üzletági kód,"9700 Szombathely, Király utca 10.",,R,,,
11774488,OTPVHUHB,OTP Veszprém m. B-hitel üzletági kód,"8200 Veszprém, Óváros tér 24.",,R,,,
11774495,OTPVHUHB,OTP Zala m. B-hitel üzletági kód,"8900 Zalaegerszeg, Kisfaludy Sándor utca 15-17.",,R,,,
11774536,OTPVHUHB,OTP Fejér m. B-hitel üzletági kód,"8000 Székesfehérvár, Ősz utca 13.",,R,,,
11774684,OTPVHUHB,OTP Pest m. B-hitel üzletági kód,"1052 Budapest, Semmelweis utca 11.",,R,,,
11774880,OTPVHUHB,OTP B-hitel Plussz üzletági kód,"1054 Budapest, Szabadság tér 7.",,R,,,
