Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items,,,
10101133,BUDAHUHB,Budapest Bank Zrt. Ajkai fiók,"8400 Ajka, Szabadság tér 8.",S,R,,,
10101140,BUDAHUHB,Budapest Bank Zrt. Paksi fiók,"7030 Paks, Dózsa György út 45.",S,R,,,
10101157,BUDAHUHB,Budapest Bank Zrt. Money plus központ,"1123 Budapest, Alkotás utca 39/C",S,R,,,
10101164,BUDAHUHB,Budapest Bank Zrt. Kalocsai fiók,"6300 Kalocsa, Szent István király út 57/A FSZ. 16.",S,R,,,
10101171,BUDAHUHB,Budapest Bank Zrt. Karcagi fiók,"5300 Karcag, Horváth Ferenc utca 3. FSZ. 1.",S,R,,,
10101188,BUDAHUHB,Budapest Bank Zrt. Kisvárdai fiók,"4600 Kisvárda, Szent László utca 14. FSZ. 2.",S,R,,,
10101195,BUDAHUHB,Budapest Bank Zrt. Komáromi fiók,"2900 Komárom, Igmándi út 19-21.",S,R,,,
10101205,BUDAHUHB,Budapest Bank Zrt. Újpesti fiók,"1042 Budapest, Árpád út 57-59. FSZ. 1.",S,R,,,
10101212,BUDAHUHB,Budapest Bank Zrt. Ózdi fiók,"3600 Ózd, Gyújtó tér 1.",S,R,,,
10101229,BUDAHUHB,Budapest Bank Zrt. Mohácsi fiók,"7700 Mohács, Szabadság utca 38.",S,R,,,
10101236,BUDAHUHB,Budapest Bank Zrt. Nyíregyháza2 fiók,"4400 Nyíregyháza, Kossuth tér 3.",S,R,,,
10101243,BUDAHUHB,Budapest Bank Zrt. Berettyóújfalui fiók,"4100 Berettyóújfalu, Dózsa György utca 24.",S,R,,,
10101250,BUDAHUHB,Budapest Bank Zrt. Mezőkövesdi fiók,"3400 Mezőkövesd, Mátyás király út 79.",S,R,,,
10101267,BUDAHUHB,Budapest Bank Zrt. Nagykátai fiók,"2760 Nagykáta, Szabadság tér 12.",S,R,,,
10101274,BUDAHUHB,Budapest Bank Zrt. Kazincbarcikai fiók,"3700 Kazincbarcika, Egressy Béni út 26.",S,R,,,
10101281,BUDAHUHB,Budapest Bank Zrt. Békéscsabai2 fiók,"5600 Békéscsaba, Munkácsy utca 3.",S,R,,,
10101298,BUDAHUHB,Budapest Bank Zrt Veszpremi fiok,"8200 Veszprém, Mindszenty József utca 7.",S,R,,,
10101308,BUDAHUHB,Budapest Bank ZRT Budagyongye fiok2,"1026 Budapest, Pázsit utca 2.",S,R,,,
10101315,BUDAHUHB,Budapest Bank Zrt. Siófoki fiók,"8600 Siófok, Fő tér 7.",S,R,,,
10101322,BUDAHUHB,Budapest Bank Zrt. Érdi2 fiók,"2030 Érd, Budai út 11.",S,R,,,
10101339,BUDAHUHB,Budapest Bank Zrt. Pestszentimre fiók,"1188 Budapest, Dózsa György utca 2.",S,R,,,
10101346,BUDAHUHB,Budapest Bank Zrt. Dunakeszi fiók,"2120 Dunakeszi, Fő út 16.",S,R,,,
10101353,BUDAHUHB,Budapest Bank Zrt. Belvárosi Fiók,"1065 Budapest, Bajcsy-Zsilinszky út 5.",S,R,,,
10101360,BUDAHUHB,Budapest Bank Zrt. Campona fiók,"1223 Budapest, Nagytétényi út 37-43.",S,R,,,
10101377,BUDAHUHB,Budapest Bank Zrt. József krt. fiók,"1085 Budapest, József körút 36.",S,R,,,
10101384,BUDAHUHB,Budapest Bank ZRT Debreceni2 fiók,"4024 Debrecen, Vár utca 6/A",S,R,,,
10101391,BUDAHUHB,Budapest Bank ZRT Nyugati teri fiok2,"1132 Budapest, Nyugati tér 4.",S,R,,,
